question_id,response_id,outcome,bias_type,response
same_model_tool,Yes,,sequence_allocation,same_model_tool.Yes
same_model_tool,No,High,sequence_allocation,same_model_tool.No
report_random_allocation_tool,Yes,,sequence_allocation,report_random_allocation_tool.Yes
report_random_allocation_tool,No,Unclear,sequence_allocation,report_random_allocation_tool.No
describe_random_component_tool,Yes,,sequence_allocation,describe_random_component_tool.Yes
describe_random_component_tool,No,Unclear,sequence_allocation,describe_random_component_tool.No
appropriate_randomization_tool,Yes,Low,sequence_allocation,appropriate_randomization_tool.Yes
appropriate_randomization_tool,No,High,sequence_allocation,appropriate_randomization_tool.No
report_base_chars_tool,Yes,,baseline_characteristics,report_base_chars_tool.Yes
report_base_chars_tool,No,Unclear,baseline_characteristics,report_base_chars_tool.No
similar_base_chars_tool,Yes,Low,baseline_characteristics,similar_base_chars_tool.Yes
similar_base_chars_tool,No,,baseline_characteristics,similar_base_chars_tool.No
adjust_confound_tool,Yes,Low,baseline_characteristics,adjust_confound_tool.Yes
adjust_confound_tool,No,High,baseline_characteristics,adjust_confound_tool.No
describe_allocation_tool,Yes,,allocation_concealment,describe_allocation_tool.Yes
describe_allocation_tool,No,Unclear,allocation_concealment,describe_allocation_tool.No
seqgen_blind_tool,Yes,Low,allocation_concealment,seqgen_blind_tool.Yes
seqgen_blind_tool,No,,allocation_concealment,seqgen_blind_tool.No
appropriate_conceal_tool,Yes,Low,allocation_concealment,appropriate_conceal_tool.Yes
appropriate_conceal_tool,No,High,allocation_concealment,appropriate_conceal_tool.No
describe_housing_tool,Yes,,random_housing,describe_housing_tool.Yes
describe_housing_tool,No,Unclear,random_housing,describe_housing_tool.No
cages_random_tool,Yes,Low,random_housing,cages_random_tool.Yes
cages_random_tool,No,High,random_housing,cages_random_tool.No
mention_blinding_tool,Yes,,blinded_experiment_conduct,mention_blinding_tool.Yes
mention_blinding_tool,No,Unclear,blinded_experiment_conduct,mention_blinding_tool.No
blinding_general_tool,Yes,,blinded_experiment_conduct,blinding_general_tool.Yes
blinding_general_tool,No,,blinded_experiment_conduct,blinding_general_tool.No
blinding_explicit_tool,Yes,,blinded_experiment_conduct,blinding_explicit_tool.Yes
blinding_explicit_tool,No,Unclear,blinded_experiment_conduct,blinding_explicit_tool.No
blinding_general_appropriate_tool,Yes,Low,blinded_experiment_conduct,blinding_general_appropriate_tool.Yes
blinding_general_appropriate_tool,No,Unclear,blinded_experiment_conduct,blinding_general_appropriate_tool.No
blinding_explicit_appropriate_tool,Yes,Low,blinded_experiment_conduct,blinding_explicit_appropriate_tool.Yes
blinding_explicit_appropriate_tool,No,High,blinded_experiment_conduct,blinding_explicit_appropriate_tool.No
mention_random_tool,Yes,,random_outcome_assessment,mention_random_tool.Yes
mention_random_tool,No,Unclear,random_outcome_assessment,mention_random_tool.No
mention_random_general_tool,Yes,,random_outcome_assessment,mention_random_general_tool.Yes
mention_random_general_tool,No,,random_outcome_assessment,mention_random_general_tool.No
describe_random_outcome_selection_tool,Yes,,random_outcome_assessment,describe_random_outcome_selection_tool.Yes
describe_random_outcome_selection_tool,No,,random_outcome_assessment,describe_random_outcome_selection_tool.No
random_general_appropriate_tool,Yes,Low,random_outcome_assessment,random_general_appropriate_tool.Yes
random_general_appropriate_tool,No,Unclear,random_outcome_assessment,random_general_appropriate_tool.No
random_explicit_appropriate_tool,Yes,Low,random_outcome_assessment,random_explicit_appropriate_tool.Yes
random_explicit_appropriate_tool,No,High,random_outcome_assessment,random_explicit_appropriate_tool.No
mention_blinding_outcome_tool,Yes,,blind_outcome_assessment,mention_blinding_outcome_tool.Yes
mention_blinding_outcome_tool,No,Unclear,blind_outcome_assessment,mention_blinding_outcome_tool.No
blinding_outcome_general_tool,Yes,,blind_outcome_assessment,blinding_outcome_general_tool.Yes
blinding_outcome_general_tool,No,,blind_outcome_assessment,blinding_outcome_general_tool.No
blinding_assessors_explicit_tool,Yes,,blind_outcome_assessment,blinding_assessors_explicit_tool.Yes
blinding_assessors_explicit_tool,No,Unclear,blind_outcome_assessment,blinding_assessors_explicit_tool.No
blinding_outcome_general_appropriate_tool,Yes,Low,blind_outcome_assessment,blinding_outcome_general_appropriate_tool.Yes
blinding_outcome_general_appropriate_tool,No,Unclear,blind_outcome_assessment,blinding_outcome_general_appropriate_tool.No
blinding_outcome_explicit_appropriate_tool,Yes,Low,blind_outcome_assessment,blinding_outcome_explicit_appropriate_tool.Yes
blinding_outcome_explicit_appropriate_tool,No,High,blind_outcome_assessment,blinding_outcome_explicit_appropriate_tool.No
describe_dropout_tool,Yes,,incomplete_outcome_data,describe_dropout_tool.Yes
describe_dropout_tool,No,,incomplete_outcome_data,describe_dropout_tool.No
report_num_started_tool,Yes,,incomplete_outcome_data,report_num_started_tool.Yes
report_num_started_tool,No,Unclear,incomplete_outcome_data,report_num_started_tool.No
report_num_analyzed_tool,Yes,,incomplete_outcome_data,report_num_analyzed_tool.Yes
report_num_analyzed_tool,No,Unclear,incomplete_outcome_data,report_num_analyzed_tool.No
start_analyzed_match_tool,Yes,Low,incomplete_outcome_data,start_analyzed_match_tool.Yes
start_analyzed_match_tool,No,High,incomplete_outcome_data,start_analyzed_match_tool.No
dropout_exists_tool,Yes,,incomplete_outcome_data,dropout_exists_tool.Yes
dropout_exists_tool,No,Low,incomplete_outcome_data,dropout_exists_tool.No
number_reason_dropout_tool,Yes,,incomplete_outcome_data,number_reason_dropout_tool.Yes
number_reason_dropout_tool,No,Unclear,incomplete_outcome_data,number_reason_dropout_tool.No
number_reason_equal_tool,Yes,Low,incomplete_outcome_data,number_reason_equal_tool.Yes
number_reason_equal_tool,No,,incomplete_outcome_data,number_reason_equal_tool.No
imputation_tool,Yes,Low,incomplete_outcome_data,imputation_tool.Yes
imputation_tool,No,High,incomplete_outcome_data,imputation_tool.No
preregistration_tool,Yes,,selective_reporting,preregistration_tool.Yes
preregistration_tool,No,,selective_reporting,preregistration_tool.No
all_results_published_tool,Yes,Unclear,selective_reporting,all_results_published_tool.Yes
all_results_published_tool,No,High,selective_reporting,all_results_published_tool.No
endpoint_defined_tool,Yes,,selective_reporting,endpoint_defined_tool.Yes
endpoint_defined_tool,No,,selective_reporting,endpoint_defined_tool.No
outcome_protocol_match_tool,Yes,Low,selective_reporting,outcome_protocol_match_tool.Yes
outcome_protocol_match_tool,No,High,selective_reporting,outcome_protocol_match_tool.No
endpoint_study_match_tool,Yes,,selective_reporting,endpoint_study_match_tool.Yes
endpoint_study_match_tool,No,High,selective_reporting,endpoint_study_match_tool.No
prereg_conducted_tool,Yes,Low,selective_reporting,prereg_conducted_tool.Yes
prereg_conducted_tool,No,High,selective_reporting,prereg_conducted_tool.No
coi_statement_tool,Yes,,other_funderinfluence,coi_statement_tool.Yes
coi_statement_tool,No,Unclear,other_funderinfluence,coi_statement_tool.No
coi_reported_tool,Yes,High,other_funderinfluence,coi_reported_tool.Yes
coi_reported_tool,No,Low,other_funderinfluence,coi_reported_tool.No
treatm_dissolved_tool,Yes,,other_analysisunit,treatm_dissolved_tool.Yes
treatm_dissolved_tool,No,Low,other_analysisunit,treatm_dissolved_tool.No
indiv_housing_tool,Yes,Low,other_analysisunit,indiv_housing_tool.Yes
indiv_housing_tool,No,,other_analysisunit,indiv_housing_tool.No
cages_unit_tool,Yes,Low,other_analysisunit,cages_unit_tool.Yes
cages_unit_tool,No,High,other_analysisunit,cages_unit_tool.No
added_animals_tool,Yes,High,other_newanimals,added_animals_tool.Yes
added_animals_tool,No,Low,other_newanimals,added_animals_tool.No
