question_id,response_id,outcome,bias_type,response
randseq_possible_tool,No,High,sequence_allocation,randseq_possible_tool.No
randseq_report_tool,No,Unclear,sequence_allocation,randseq_report_tool.No
randseq_explicit_tool,No,High,sequence_allocation,randseq_explicit_tool.No
describe_random_component_tool,No,Unclear,sequence_allocation,describe_random_component_tool.No
appropriate_randomization_tool,Yes,Low,sequence_allocation,appropriate_randomization_tool.Yes
appropriate_randomization_tool,No,High,sequence_allocation,appropriate_randomization_tool.No
report_basechars_tool,No,Unclear,baseline_characteristics,report_basechars_tool.No
similar_basechars_tool,Yes,Low,baseline_characteristics,similar_basechars_tool.Yes
overall_chars_reasonable_tool,Yes,Low,baseline_characteristics,overall_chars_reasonable_tool.Yes
overall_chars_reasonable_tool,No,Unclear,baseline_characteristics,overall_chars_reasonable_tool.No
adjust_confound_tool,Yes,Low,baseline_characteristics,adjust_confound_tool.Yes
adjust_confound_tool,No,High,baseline_characteristics,adjust_confound_tool.No
conceal_possible_tool,No,High,allocation_concealment,conceal_possible_tool.No
mention_conceal_tool,No,Unclear,allocation_concealment,mention_conceal_tool.No
alloc_notblind_tool,Yes,High,allocation_concealment,alloc_notblind_tool.Yes
desc_conceal_tool,No,Unclear,allocation_concealment,desc_conceal_tool.No
appropriate_conceal_tool,Yes,Low,allocation_concealment,appropriate_conceal_tool.Yes
appropriate_conceal_tool,No,High,allocation_concealment,appropriate_conceal_tool.No
desc_animal_place_tool,No,Unclear,random_housing,desc_animal_place_tool.No
cages_random_tool,Yes,Low,random_housing,cages_random_tool.Yes
cages_random_tool,No,High,random_housing,cages_random_tool.No
groups_together_tool,Yes,Low,random_housing,groups_together_tool.Yes
animals_random_tool,Yes,Low,random_housing,animals_random_tool.Yes
animals_random_tool,No,High,random_housing,animals_random_tool.No
exp_blind_possible_tool,No,High,blinded_experiment_conduct,exp_blind_possible_tool.No
mention_blinding_tool,No,Unclear,blinded_experiment_conduct,mention_blinding_tool.No
blind_general_desc_tool,No,Unclear,blinded_experiment_conduct,blind_general_desc_tool.No
blind_general_appropriate_tool,Yes,Low,blinded_experiment_conduct,blind_general_appropriate_tool.Yes
blind_general_appropriate_tool,No,High,blinded_experiment_conduct,blind_general_appropriate_tool.No
blinding_explicit_tool,No,Unclear,blinded_experiment_conduct,blinding_explicit_tool.No
blind_explicit_desc_tool,No,Unclear,blinded_experiment_conduct,blind_explicit_desc_tool.No
blind_explicit_appropriate_tool,Yes,Low,blinded_experiment_conduct,blind_explicit_appropriate_tool.Yes
blind_explicit_appropriate_tool,No,High,blinded_experiment_conduct,blind_explicit_appropriate_tool.No
rand_outcome_possible_tool,No,High,random_outcome_assessment,rand_outcome_possible_tool.No
desc_rand_outcome_tool,No,Unclear,random_outcome_assessment,desc_rand_outcome_tool.No
explicit_outcome_notrandom_tool,Yes,High,random_outcome_assessment,explicit_outcome_notrandom_tool.Yes
rand_general_desc_tool,No,Unclear,random_outcome_assessment,rand_general_desc_tool.No
rand_general_appr_tool,Yes,Low,random_outcome_assessment,rand_general_appr_tool.Yes
rand_general_appr_tool,No,High,random_outcome_assessment,rand_general_appr_tool.No
rand_outcome_explicit_tool,No,Unclear,random_outcome_assessment,rand_outcome_explicit_tool.No
rand_explicit_desc_tool,No,Unclear,random_outcome_assessment,rand_explicit_desc_tool.No
rand_explicit_appr_tool,Yes,Low,random_outcome_assessment,rand_explicit_appr_tool.Yes
rand_explicit_appr_tool,No,High,random_outcome_assessment,rand_explicit_appr_tool.No
blind_outcome_possible_tool,No,High,blind_outcome_assessment,blind_outcome_possible_tool.No
desc_blind_outcome_tool,No,Unclear,blind_outcome_assessment,desc_blind_outcome_tool.No
explicit_outcome_notblind_tool,No,High,blind_outcome_assessment,explicit_outcome_notblind_tool.No
blind_outcome_general_desc_tool,No,Unclear,blind_outcome_assessment,blind_outcome_general_desc_tool.No
blind_outcome_general_appr_tool,Yes,Low,blind_outcome_assessment,blind_outcome_general_appr_tool.Yes
blind_outcome_general_appr_tool,No,High,blind_outcome_assessment,blind_outcome_general_appr_tool.No
blind_outcome_explicit_tool,No,Unclear,blind_outcome_assessment,blind_outcome_explicit_tool.No
blind_outcome_explicit_desc_tool,No,Unclear,blind_outcome_assessment,blind_outcome_explicit_desc_tool.No
blind_outcome_explicit_appr_tool,Yes,Low,blind_outcome_assessment,blind_outcome_explicit_appr_tool.Yes
blind_outcome_explicit_appr_tool,No,High,blind_outcome_assessment,blind_outcome_explicit_appr_tool.No
report_num_started_tool,No,Unclear,incomplete_outcome_data,report_num_started_tool.No
report_num_analyzed_tool,No,Unclear,incomplete_outcome_data,report_num_analyzed_tool.No
start_analyzed_match_tool,Yes,Low,incomplete_outcome_data,start_analyzed_match_tool.Yes
start_analyzed_match_tool,No,High,incomplete_outcome_data,start_analyzed_match_tool.No
dropout_exists_tool,No,Low,incomplete_outcome_data,dropout_exists_tool.No
number_reason_dropout_tool,No,Unclear,incomplete_outcome_data,number_reason_dropout_tool.No
number_reason_equal_tool,Yes,Low,incomplete_outcome_data,number_reason_equal_tool.Yes
imputation_tool,Yes,Low,incomplete_outcome_data,imputation_tool.Yes
imputation_tool,No,High,incomplete_outcome_data,imputation_tool.No
all_results_published_tool,No,Unclear,selective_reporting,all_results_published_tool.No
all_methods_stated_tool,Yes,Unclear,selective_reporting,all_methods_stated_tool.Yes
all_methods_stated_tool,No,High,selective_reporting,all_methods_stated_tool.No
outcome_protocol_match_tool,Yes,Low,selective_reporting,outcome_protocol_match_tool.Yes
outcome_protocol_deviation_tool,Yes,Low,selective_reporting,outcome_protocol_deviation_tool.Yes
outcome_protocol_deviation_tool,No,High,selective_reporting,outcome_protocol_deviation_tool.No
outcome_study_match_tool,No,Unclear,selective_reporting,outcome_study_match_tool.No
prereg_conducted_tool,Yes,Low,selective_reporting,prereg_conducted_tool.Yes
prereg_deviation_tool,Yes,Low,selective_reporting,prereg_deviation_tool.Yes
prereg_deviation_tool,No,High,selective_reporting,prereg_deviation_tool.No
coi_statement_tool,No,Unclear,other_funder_influence,coi_statement_tool.No
coi_reported_tool,No,Low,other_funder_influence,coi_reported_tool.No
measures_bias_tool,Yes,Low,other_funder_influence,measures_bias_tool.Yes
measures_bias_tool,No,High,other_funder_influence,measures_bias_tool.No
added_animals_tool,Yes,High,other_new_animals,added_animals_tool.Yes
added_animals_tool,No,Low,other_new_animals,added_animals_tool.No
